crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2025-03-29T00:00:00Z,02:37:00,QUEENS,11427,40.729465,-73.74364,"
,  
(40.729465, -73.74364)",NA,NA,219-39    89 AVE,1,0,0,0,0,0,1,0,Turning Improperly,NA,NA,NA,NA,4802516,NA,NA,NA,NA,NA
2025-03-29T00:00:00Z,16:01:00,QUEENS,11427,40.72992,-73.742424,"
,  
(40.72992, -73.742424)",89 AVE,BRADDOCK AVE,NA,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,NA,NA,NA,4801941,Sedan,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,05:21:00,NA,NA,40.837894,-73.88138,"
,  
(40.837894, -73.88138)",CROSS BRONX EXPY,NA,NA,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,NA,NA,NA,4802401,Sedan,Box Truck,NA,NA,NA
2025-03-29T00:00:00Z,14:30:00,BRONX,10467,40.86059,-73.86727,"
,  
(40.86059, -73.86727)",NA,NA,2407      BOSTON RD,1,0,0,0,0,0,1,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,Unspecified,NA,NA,4801964,Station Wagon/Sport Utility Vehicle,Motorbike,Motorbike,NA,NA
2025-03-29T00:00:00Z,16:17:00,BRONX,10467,40.884987,-73.86203,"
,  
(40.884987, -73.86203)",WHITE PLAINS RD,E 221 ST,NA,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Traffic Control Disregarded,NA,NA,NA,4802245,Sedan,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,15:28:00,BROOKLYN,11224,0,0,"
,  
(0.0, 0.0)",NA,NA,1039      SURF AVE,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,NA,NA,NA,4802526,Sedan,Motorcycle,NA,NA,NA
2025-03-29T00:00:00Z,15:05:00,MANHATTAN,10002,40.714306,-73.985916,"
,  
(40.714306, -73.985916)",NA,NA,247       E BROADWAY,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,NA,NA,NA,4802109,Station Wagon/Sport Utility Vehicle,E-Bike,NA,NA,NA
2025-03-29T00:00:00Z,18:45:00,BROOKLYN,11207,40.657867,-73.892265,"
,  
(40.657867, -73.892265)",LINDEN BLVD,GEORGIA AVE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802254,Sedan,NA,NA,NA,NA
2025-03-29T00:00:00Z,18:40:00,MANHATTAN,10075,0,0,"
,  
(0.0, 0.0)",NA,NA,255       E 77 ST,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4802460,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2025-03-29T00:00:00Z,06:00:00,NA,NA,40.722095,-73.77772,"
,  
(40.722095, -73.77772)",GRAND CENTRAL PKWY,NA,NA,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4801917,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2025-03-29T00:00:00Z,09:44:00,BROOKLYN,11212,40.66207,-73.92708,"
,  
(40.66207, -73.92708)",NA,NA,976       RUTLAND RD,1,0,0,0,0,0,1,0,Unspecified,Unspecified,NA,NA,NA,4802057,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,11:35:00,NA,NA,40.61261,-74.132095,"
,  
(40.61261, -74.132095)",NA,NA,2055      VICTORY BLVD,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inexperience,NA,NA,NA,4802412,Sedan,Bike,NA,NA,NA
2025-03-29T00:00:00Z,21:40:00,BROOKLYN,11214,40.596928,-73.99878,"
,  
(40.596928, -73.99878)",NA,NA,8855      BAY PKWY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802292,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2025-03-29T00:00:00Z,08:00:00,QUEENS,11691,0,0,"
,  
(0.0, 0.0)",NA,NA,17-09     REDFERN AVE,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4802347,Sedan,NA,NA,NA,NA
2025-03-29T00:00:00Z,12:13:00,NA,NA,40.651863,-73.86536,"
,  
(40.651863, -73.86536)",BELT PARKWAY,NA,NA,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,NA,NA,NA,4802172,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,16:07:00,BROOKLYN,11207,40.659626,-73.89205,"
,  
(40.659626, -73.89205)",NA,NA,524       HEGEMAN AVE,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,NA,NA,4802253,Sedan,Sedan,Sedan,NA,NA
2025-03-29T00:00:00Z,08:33:00,NA,NA,40.585056,-73.928894,"
,  
(40.585056, -73.928894)",BELT PARKWAY,NA,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,NA,NA,NA,4801926,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,03:30:00,BRONX,10458,40.864254,-73.88812,"
,  
(40.864254, -73.88812)",E 195 ST,WEBSTER AVE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802365,FDNY FIRET,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,11:11:00,NA,NA,40.72634,-73.76508,"
,  
(40.72634, -73.76508)",GRAND CENTRAL PKWY,NA,NA,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,NA,NA,NA,NA,4802488,Sedan,NA,NA,NA,NA
2025-03-29T00:00:00Z,15:30:00,BROOKLYN,11220,40.639763,-74.03559,"
,  
(40.639763, -74.03559)",68 ST,SHORE RD,NA,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,NA,NA,NA,4801991,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,15:37:00,QUEENS,11373,40.746418,-73.88438,"
,  
(40.746418, -73.88438)",NA,NA,40-37     81 ST,3,0,2,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,NA,NA,4802391,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,NA,NA
2025-03-29T00:00:00Z,22:12:00,BROOKLYN,11226,40.63969,-73.95321,"
,  
(40.63969, -73.95321)",E 25 ST,NEWKIRK AVE,NA,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,NA,NA,NA,4802155,Sedan,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,20:40:00,QUEENS,11692,40.595074,-73.784546,"
,  
(40.595074, -73.784546)",BEACH 54 ST,BEACH CHANNEL DR,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802364,Bus,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,10:30:00,NA,NA,40.66632,-73.83481,"
,  
(40.66632, -73.83481)",BELT PARKWAY,NA,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,NA,NA,NA,4802278,Sedan,Sedan,NA,NA,NA
